ï»¿X;Y;FID;AÃ±o;IdAccident;Latitud;longitud;ClaseAccid;Fecha;Hora;RegiÃ³n;Comuna;Tipo_Accid;Tipo__CONA;Zona;UbicaciÃ³n;Causa__CON;Causa_Acci;Calle_Uno;Calle_Dos;Intersecci;NÃºmero;Ruta;Ubicaci_1;Calzada;Tipo_Calza;Estado_Cal;CondiciÃ³n;Estado_Atm;Fallecidos;Graves;Menos_Grav;Leves
-7864299,567;-3955267,05;5912;2024;1602601;-33,450597;-70,646205;1;2024/03/30 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;SANTIAGO;COLISION LATERAL;COLISION;URBANA;ACERA O BERMA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;STA ISABEL;;- STA ISABEL;765;;;BIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;0
-7870112,226;-3974293,414;5913;2024;1602604;-33,593086;-70,698421;1;2024/04/07 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;SAN BERNARDO;COLISION POR ALCANCE;COLISION;URBANA;CRUCE CON SEMAFORO APAGADO;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;BARROS ARANA;O'HIGGINS;BARROS ARANA - O'HIGGINS;0;;;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;1
-7889616,848;-3976213,428;5914;2024;1602606;-33,607452;-70,873634;1;2024/03/30 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PENAFLOR;CHOQUE FRENTE/LADO;CHOQUE;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;ADELANTAMIENTO SIN EL ESPACIO O TIEMPO SUFICIENTE;LAS PALMAS;CORDILLERA LA COSTA;CORDILLERA LA COSTA - LAS PALMAS;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7869515,776;-3953642,523;5915;2024;1602608;-33,43842;-70,693063;1;2024/03/27 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;QUINTA NORMAL;COLISION FRONTAL;COLISION;URBANA;CRUCE CON SENAL PARE;DESOBEDIENCIA A SENALIZACION;SENALIZACION DESOBEDECER SENAL PARE;SAN PABLO;DIAZ SAGREDO;DIAZ SAGREDO - SAN PABLO;0;;;BIDIRECCIONAL;ASFALTO;REGULAR;SECO;DESPEJADO;0;0;0;0
-7890595,346;-3975776,766;5916;2024;1602616;-33,604185;-70,882424;1;2024/03/31 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PENAFLOR;COLISION FRONTAL;COLISION;URBANA;ACERA O BERMA;DESOBEDIENCIA A SENALIZACION;SENALIZACION DESOBEDECER SENAL CEDA EL PASO;14 DE JULIO;MALLOQUITO;14 DE JULIO - MALLOQUITO;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;1;0;0
-7869321,412;-3951628,224;5917;2024;1602619;-33,423319;-70,691317;1;2024/03/29 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;QUINTA NORMAL;COLISION FRONTAL;COLISION;URBANA;OTROS NO CONSIDERADOS;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;CARRASCAL;JOAQUIN WALKER MARTINEZ;CARRASCAL - JOAQUIN WALKER MARTINEZ;0;;;BIDIRECCIONAL CON BANDEJON;ASFALTO;REGULAR;SECO;DESPEJADO;0;1;0;0
-7860775,081;-3968237,292;5918;2024;1602624;-33,547757;-70,614544;1;2024/04/03 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LA FLORIDA;ATROPELLO;ATROPELLO;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;BAHIA CATALINA;CALLE 1;BAHIA CATALINA - CALLE 1;0;;;BIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;1
-7866433,005;-3948168,812;5919;2024;1602625;-33,397378;-70,66537;1;2024/04/02 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;CONCHALI;CHOQUE FRONTAL;CHOQUE;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;DORSAL;;- DORSAL;1556;;;BIDIRECCIONAL CON BANDEJON;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;0
-7867050,16;-3946963,108;5920;2024;1602630;-33,388335;-70,670914;1;2024/04/04 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;CONCHALI;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;PEDRO FONTOVA;GALENO;GALENO - PEDRO FONTOVA;0;;;BIDIRECCIONAL;CONCRETO;REGULAR;SECO;DESPEJADO;0;0;0;0
-7865528,534;-3946607,941;5921;2024;1602631;-33,385671;-70,657245;1;2024/04/05 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;CONCHALI;COLISION LATERAL;COLISION;URBANA;ROTONDA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;EL GUANACO;;- EL GUANACO;3429;;;BIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;0
-7870627,19;-3943292,103;5922;2024;1602637;-33,360796;-70,703047;1;2024/04/05 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;QUILICURA;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;PDTE EDUARDO FREI MONTALVA;;- PDTE EDUARDO FREI MONTALVA;372;;;UNIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;0
-7857124,024;-3972255,068;5923;2024;1602640;-33,577832;-70,581746;1;2024/04/04 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PUENTE ALTO;CHOQUE FRENTE/POSTERIOR;CHOQUE;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;CONCHA Y TORO;;- CONCHA Y TORO;3459;;;BIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;0
-7866314,227;-3950599,668;5924;2024;1602641;-33,415607;-70,664303;1;2024/04/05 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;INDEPENDENCIA;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;LA PAZ;SANTOS DUMONT;LA PAZ - SANTOS DUMONT;0;;;BIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;0
-7865515,51;-3945392,668;5925;2024;1602642;-33,376555;-70,657128;1;2024/04/05 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;CONCHALI;CHOQUE POSTERIOR/LADO;CHOQUE;URBANA;CRUCE CON SEMAFORO FUNCIONANDO;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;EL GUANACO;AMERICO VESPUCIO;AMERICO VESPUCIO - EL GUANACO;0;;;UNIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;1
-7891133,576;-3975822,075;5926;2024;1602643;-33,604524;-70,887259;1;2024/03/04 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;PENAFLOR;COLISION POR ALCANCE;COLISION;URBANA;OTROS NO CONSIDERADOS;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;21 DE MAYO;GLORIAS NAVALES;21 DE MAYO - GLORIAS NAVALES;0;;;BIDIRECCIONAL;CONCRETO;MALO;SECO;DESPEJADO;0;0;0;0
-7870192,821;-3955648,234;5927;2024;1602650;-33,453454;-70,699145;1;2024/03/23 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;ESTACION CENTRAL;COLISION POR ALCANCE;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;ECUADOR;BERNAL DEL MERCADO;BERNAL DEL MERCADO - ECUADOR;0;;;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;2
-7872031,04;-3952629,261;5928;2024;1602656;-33,430824;-70,715658;1;2024/04/05 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;QUINTA NORMAL;ATROPELLO;ATROPELLO;URBANA;CRUCE CON SENAL PARE;IMPRUDENCIA DEL PEATON;PEATON CRUZA CALZADA FUERA PASO PEATONES;RIO BAKER;SAMUEL IZQUIERDO;RIO BAKER - SAMUEL IZQUIERDO;0;;;BIDIRECCIONAL;CONCRETO;REGULAR;SECO;DESPEJADO;0;0;0;1
-7862050,579;-3962848,122;5929;2024;1602658;-33,5074;-70,626002;1;2024/03/14 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;SAN JOAQUIN;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;LAS INDUSTRIAS;DEPARTAMENTAL;DEPARTAMENTAL - LAS INDUSTRIAS;0;;;BIDIRECCIONAL;CONCRETO;BUENO;SECO;DESPEJADO;0;0;0;0
-7889567,533;-3934820,26;5930;2024;1602711;-33,297209;-70,873191;1;2024/04/04 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LAMPA;COLISION FRONTAL;COLISION;URBANA;CRUCE CON SENAL CEDA EL PASO;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;CAMINO LOS TULIPANES;LA HACIENDA;CAMINO LOS TULIPANES - LA HACIENDA;0;;;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7890706,999;-3933551,488;5931;2024;1602712;-33,287682;-70,883427;1;2024/04/05 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LAMPA;COLISION LATERAL;COLISION;URBANA;CRUCE SIN SENALIZACION;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;ARTURO PRAT;JOVINO NOVOA;ARTURO PRAT - JOVINO NOVOA;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7890706,999;-3933551,488;5932;2024;1602713;-33,287682;-70,883427;1;2024/04/05 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LAMPA;COLISION POR ALCANCE;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;JOVINO NOVOA;ARTURO PRAT;ARTURO PRAT - JOVINO NOVOA;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7888826,145;-3934470,925;5933;2024;1602715;-33,294586;-70,866531;1;2024/04/05 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LAMPA;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;BARROS LUCO;LOS HALCONES;BARROS LUCO - LOS HALCONES;0;;;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7882081,631;-3925885,602;5934;2024;1602718;-33,230098;-70,805944;1;2024/04/08 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LAMPA;COLISION FRONTAL;COLISION;URBANA;CRUCE CON SENAL PARE;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;ECUADOR;GARIBALDI;ECUADOR - GARIBALDI;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
-7879777,986;-3932604,827;5935;2024;1602736;-33,280573;-70,78525;1;2024/04/09 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LAMPA;COLISION FRONTAL;COLISION;RURAL;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION CONTRA SENTIDO DEL TRANSITO;CACIQUE COLIN;LOS ESPINOS;CACIQUE COLIN - LOS ESPINOS;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;2;0;0;0
-7878146,932;-3933794,924;5936;2024;1602744;-33,28951;-70,770598;1;2024/04/09 00:00:00+00;1899/12/30 00:00:00+00;REGION METROPOLITANA;LAMPA;COLISION POR ALCANCE;COLISION;RURAL;TRAMO DE VIA RECTA;IMPRUDENCIA DEL CONDUCTOR;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;CACIQUE COLIN;;- CACIQUE COLIN;0;;;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0
